,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
0,109084,0,761,0,0.0,0.0,0.9930720560790205,1.4335629
1,109083,0,761,1,0.0,0.0,0.9930629523419363,0.43356287
2,109004,0,761,80,0.0,0.0,0.9923437571122946,0.39474565
3,109004,1,760,80,0.012345679012345678,0.001314060446780552,0.9923528608493787,0.39438397
4,108991,1,760,93,0.010638297872340425,0.001314060446780552,0.9922345122672858,0.39255238
5,108991,2,759,93,0.021052631578947368,0.002628120893561104,0.9922436160043698,0.3925404
6,108986,2,759,98,0.02,0.002628120893561104,0.9921980973189495,0.39204028
7,108986,3,758,98,0.0297029702970297,0.003942181340341655,0.9922072010560335,0.39200717
8,108969,3,758,115,0.025423728813559324,0.003942181340341655,0.9920524375256042,0.38786104
9,108969,4,757,115,0.03361344537815126,0.005256241787122208,0.9920615412626883,0.38718468
10,108962,4,757,122,0.031746031746031744,0.005256241787122208,0.9919978151030998,0.38617653
11,108962,5,756,122,0.03937007874015748,0.006570302233902759,0.9920069188401839,0.3852721
12,108958,5,756,126,0.03816793893129771,0.006570302233902759,0.9919705038918476,0.38477898
13,108958,8,753,126,0.05970149253731343,0.010512483574244415,0.9919978151030998,0.38379103
14,108948,8,753,136,0.05555555555555555,0.010512483574244415,0.9919067777322591,0.3819418
15,108948,9,752,136,0.06206896551724138,0.011826544021024968,0.9919158814693432,0.38191408
16,108941,9,752,143,0.05921052631578947,0.011826544021024968,0.9918521553097547,0.38027644
17,108941,10,751,143,0.06535947712418301,0.013140604467805518,0.9918612590468388,0.38006312
18,108937,10,751,147,0.06369426751592357,0.013140604467805518,0.9918248440985025,0.37907076
19,108937,11,750,147,0.06962025316455696,0.01445466491458607,0.9918339478355865,0.3789901
20,108926,11,750,158,0.0650887573964497,0.01445466491458607,0.9917338067276618,0.37722972
21,108926,13,748,158,0.07602339181286549,0.017082785808147174,0.9917520142018299,0.37706327
22,108896,13,748,188,0.06467661691542288,0.017082785808147174,0.9914789020893077,0.36990127
23,108896,14,747,188,0.06930693069306931,0.018396846254927726,0.9914880058263917,0.36963034
24,108891,14,747,193,0.06763285024154589,0.018396846254927726,0.9914424871409714,0.36821765
25,108891,15,746,193,0.07211538461538461,0.01971090670170828,0.9914515908780555,0.36781108
