,vin,km
0,MB1A3CHD0KPHH2911,25461.4
1,MB1A3CHD3JRYZ0598,27788.2
2,MB1A3CHD4KPHH3026,30118.3
3,MB1A3CHD9JADJ0093,72151.5
4,MB1CTCHD0JPEC8776,238700.0
5,MB1CTCHD0JPEC9720,215348.9
6,MB1CTCHD0JPGB9999,123777.1
7,MB1CTCHD2JPEC9167,242054.0
8,MB1CTCHD5JAEH8673,124370.5
9,MB1CTCHD5JAEH9371,93611.9
10,MB1CTCHD5JPDD5302,163301.7
11,MB1CTCHD5KPHH4873,18776.3
12,MB1CTCHD7JEHZ7795,159086.5
13,MB1CTCHD7JPDD5284,155214.4
14,MB1CTCHD7JRHV5037,111935.1
15,MB1CTCHD8JPCD7879,102525.2
16,MB1CTCHD8KPJH0165,66781.9
17,MB1CTCHDXJPED1605,63074.5
18,MB1DTCHD5JRXZ9362,50455.1
19,MB1G3CHD8JEFA2877,36180.3
20,MB1HTDHD0JEDA9391,99470.7
21,MB1HTDHD1JREX1477,80100.9
22,MB1HTDHD3JEGA0449,93795.5
23,MB1HTDHD3JPFC3568,70957.9
24,MB1HTDHD3JRBY3301,107484.8
25,MB1HTDHD4JRDX4709,95030.1
26,MB1HTDHD4JRDX5777,135817.8
27,MB1HTDHD6JRDX6395,99300.6
28,MB1HTDHD7JPCD8808,86023.7
29,MB1HTDHD9JEBB4471,30692.8
30,MB1HTLHD0JPDD7092,140443.3
31,MB1HTLHD6JPBE3909,34641.9
32,MB1JADHD3JRAY6302,31703.1
33,MB1JADHD3JRAY7269,49769.9
34,MB1JADHD8JPAE5736,70606.8
35,MB1JADHD8JPAE7468,110413.4
36,MB1JADHD8JPGB9185,86000.7
37,MB1JADHD8JREX3301,112383.9
38,MB1JADHD9JPXF9632,79709.1
39,MB1KACHD0JEBB3487,15323.8
40,MB1KACHD0JEFA4283,78774.8
41,MB1KACHD0JEHZ7185,131677.6
42,MB1KACHD0JPHB7741,76180.3
43,MB1KACHD0JRHV8198,61854.0
44,MB1KACHD0JRXZ4311,53534.2
45,MB1KACHD1JAFH8495,57534.2
46,MB1KACHD1JEHZ6482,85564.4
47,MB1KACHD1JPFC3090,59128.9
48,MB1KACHD1JPGC0502,63623.9
49,MB1KACHD1JPYF0733,96083.1
50,MB1KACHD1JRAY8273,66909.3
51,MB1KACHD1JRKA3351,72296.3
52,MB1KACHD1KAJJ8837,59544.0
53,MB1KACHD1KPJG2880,33191.4
54,MB1KACHD1KRHB1534,12884.8
55,MB1KACHD2JPBE1781,47050.2
56,MB1KACHD2JPDD4450,97094.0
57,MB1KACHD2JPGC1836,107203.8
58,MB1KACHD2JRHV8185,70467.7
59,MB1KACHD2KEJC5557,47572.3
60,MB1KACHD2KEJC6756,56572.3
61,MB1KACHD2KPJH1149,51692.8
62,MB1KACHD3JAFH7431,77924.5
63,MB1KACHD3JAGH5665,44712.0
64,MB1KACHD3JEGA1672,98538.5
65,MB1KACHD3JPDD5199,116264.1
66,MB1KACHD3JPEC9096,118864.1
67,MB1KACHD3JPXG0273,46367.1
68,MB1KACHD3JRDX5002,70401.5
69,MB1KACHD3KPJG5988,38724.3
70,MB1KACHD4JEBB2844,92541.5
71,MB1KACHD4JEFA3606,63255.8
72,MB1KACHD4JEYB7916,51850.1
73,MB1KACHD4JPED0984,127484.2
74,MB1KACHD4JPYF0970,65866.2
75,MB1KACHD4JRWZ9850,38703.2
76,MB1KACHD4KPJG5370,7415.5
77,MB1KACHD4KPJG5725,63050.9
78,MB1KACHD5HPJB1228,144837.5
79,MB1KACHD5JAYJ5393,62590.5
80,MB1KACHD5JEAB7399,68890.5
81,MB1KACHD5JECB0202,75344.6
82,MB1KACHD5JEHZ8140,17883.3
83,MB1KACHD5JPBE1449,45638.4
84,MB1KACHD5JPBE2522,49538.4
85,MB1KACHD5JPED1593,82759.8
86,MB1KACHD5JPGC2656,89459.8
87,MB1KACHD5JPXF9657,59836.9
88,MB1KACHD5JPYF3084,66475.5
89,MB1KACHD5JRDX5003,77611.0
90,MB1KACHD5JRFW9000,57452.7
91,MB1KACHD5KEJC5889,37162.8
92,MB1KACHD6JADJ0952,28561.8
93,MB1KACHD6JAFH8492,84559.6
94,MB1KACHD6JEYB7934,46547.5
95,MB1KACHD6JPCE1088,40589.6
96,MB1KACHD6JPDD3575,56605.6
97,MB1KACHD6JPDD5391,63055.7
98,MB1KACHD6JPFC2081,66655.7
99,MB1KACHD6JPYF4194,7878.2
100,MB1KACHD6JPYF4308,75353.2
101,MB1KACHD6JRGW3015,70163.2
102,MB1KACHD7JEBB3129,116832.6
103,MB1KACHD7JPBE2408,81705.8
104,MB1KACHD7JPBE3199,58298.9
105,MB1KACHD7JPDD3049,39396.2
106,MB1KACHD7JPED0994,118662.9
107,MB1KACHD7JPHB6733,62389.5
108,MB1KACHD7JRFW7040,76811.1
109,MB1KACHD7JRHV7632,76996.7
110,MB1KACHD7KPEJ8642,8654.6
111,MB1KACHD8JEBB2586,95695.2
112,MB1KACHD8KPJH1740,47273.4
113,MB1KACHD9JEAB6935,86490.7
114,MB1KACHD9JPGC2191,177811.4
115,MB1KACHD9JPYF2875,29580.7
116,MB1KACHD9JRFW5581,54925.7
117,MB1KACHDXJEFA3934,68800.4
118,MB1KACHDXJEXC1594,17056.8
119,MB1KACHDXJPDD7709,92427.9
120,MB1KAKHD5JPBE3454,55853.7
121,MB1NACHD0JPHB6702,122904.5
122,MB1NACHD2JAFH7143,89839.3
123,MB1NACHD2JEGA0140,61417.2
124,MB1NACHD2JPGB8917,69306.1
125,MB1NACHD3JEGA0146,15255.4
126,MB1NACHD3JPHB6743,54513.7
127,MB1NACHD4JPHB5018,3799.4
128,MB1NACHD5JAHH3951,56601.5
129,MB1NACHD5JAHH4890,83198.4
130,MB1NACHD5JPGB8443,35992.0
131,MB1NACHD5JPGC0595,172990.0
132,MB1NACHD5JPGC0676,94353.3
133,MB1NACHD6JPHB3772,140261.5
134,MB1NACHD7JAHH4387,122051.9
135,MB1NACHD7JAHH4941,3749.1
136,MB1NACHD7JEHZ8668,69539.4
137,MB1NACHD7JPHB6518,65301.0
138,MB1NACHD7JPHB7233,44453.1
139,MB1NACHD8JEGA1437,171289.4
140,MB1NACHD9JEGA0541,101495.2
141,MB1NACHD9JPHB3913,89609.0
142,MB1NACHD9JPHB4432,82385.6
143,MB1NACHD9JRHV6415,117319.6
144,MB1TLCHD7JEFA3677,78211.6
145,MB1TLDHD4JECB0468,58089.8
146,MB1TLKHD7JPXF5490,50333.5
147,MB1TRCHD1JEAB6988,24953.3
148,MB1TRCHD2JAFH7868,43180.9
149,MB1TRCHD2JAHH4040,68781.0
150,MB1TRCHD2JRHV7907,78575.7
151,MB1TRCHD3JPGB9803,1901.6
152,MB1TRCHD3JRGW1333,61657.1
153,MB1TRCHD5JAEH9000,11605.0
154,MB1TRCHD6JAHH5062,101218.4
155,MB1TRCHD7JEAB6882,54707.7
156,MB1TRCHD7JRDX4593,63564.2
157,MB1TRCHD8JEHZ8968,46339.3
158,MB1TRCHD8KEJC3146,23418.9
159,MB1TRCHD9JRDX3980,51076.6
160,MB1TRCHDXJPAE9475,25909.1
161,MB1TRDHD0JPGC1076,151781.1
162,MB1TRDHD0JPHB6298,97792.7
163,MB1TRDHD0KPJG1013,42442.2
164,MB1TRDHD0KPJG5661,56211.2
165,MB1TRDHD1JPHB6293,81157.7
166,MB1TRDHD1JPYF2680,64013.6
167,MB1TRDHD1KPJG1022,46918.7
168,MB1TRDHD6JPGB8893,91360.3
169,MB1TRDHD6JPHB6970,61679.5
170,MB1TRDHD6JPYF0858,52667.2
171,MB1TRDHD8JPHB6971,18780.3
172,MB1TRDHD8KPFJ4413,10583.1
173,MB1TRDHD8KPJF8330,57869.0
174,MB1TRDHDXJPGC1179,32050.4
175,MB1TRKHD0JPBE3097,69857.4
176,MB1TRKHD0JPBE3777,32769.2
177,MB1TRKHD0JPCD8579,102391.0
178,MB1TRKHD0JPYF2271,51966.5
179,MB1TRKHD0JPYF3095,112674.5
180,MB1TRKHD0JRAY7008,52789.4
181,MB1TRKHD0JRYZ3797,27323.4
182,MB1TRKHD0KPHH3722,10344.7
183,MB1TRKHD0KREC4662,20680.0
184,MB1TRKHD1JPAE6782,57577.1
