,vin,km,ANN_EGR_KM,Predicted in advance km
0,MB1CTCHD2JPGC2824,135462.0,147091,11629.0
1,MB1CTCHD5JPBE1725,93547.0,102571,9024.0
2,MB1CTCHD7JAXJ5875,88439.0,99650,11211.0
3,MB1KACHD0JPCD8414,70580.3,74268,3687.699999999997
4,MB1KACHD1JPCD8535,96355.0,126722,30367.0
5,MB1KACHD1JPFC7222,60523.9,60882,358.09999999999854
6,MB1KACHD2JEAB6825,18190.5,30801,12610.5
7,MB1KACHD3JAGH6461,53212.0,160061,106849.0
8,MB1KACHD3JAGH6461,53212.0,165092,111880.0
9,MB1KACHD3JEFA4536,22496.4,82282,59785.6
10,MB1KACHD3JPGC1778,12084.1,141300,129215.9
11,MB1KACHD3KPHH2993,24685.6,37374,12688.400000000001
12,MB1KACHD4JPYF4291,52922.4,61514,8591.599999999999
13,MB1KACHD5JPED1481,64567.5,131000,66432.5
14,MB1KACHD5JPWG5083,55205.7,71180,15974.300000000003
15,MB1KACHD5JPXF9416,44704.9,59282,14577.099999999999
16,MB1KACHD5JRXZ8094,45057.4,54045,8987.599999999999
17,MB1KACHD6JAXJ6176,17985.9,22750,4764.0999999999985
18,MB1KACHD6JEDA7439,20385.9,90548,70162.1
19,MB1KACHD6JEFA3607,151923.4,161065,9141.600000000006
20,MB1KACHD6JPHB6044,84049.1,86523,2473.899999999994
21,MB1KACHD6KPHH2843,11380.6,24999,13618.4
22,MB1KACHD7JAYJ5086,4127.5,102765,98637.5
23,MB1KACHD7JPCD9138,35196.2,39943,4746.800000000003
24,MB1KACHD7KPJG5203,14395.9,14884,488.10000000000036
25,MB1KACHD7KPJG5914,14795.9,28639,13843.1
26,MB1KACHD7KPJG9140,13340.9,16747,3406.1000000000004
27,MB1KACHD7KRJA3563,40992.4,47368,6375.5999999999985
28,MB1KACHDXKEHD0431,44050.0,45631,1581.0
29,MB1KAKHD9JPEC9937,59502.3,68940,9437.699999999997
30,MB1NACHD1JPHB4618,78215.4,80241,2025.6000000000058
31,MB1NACHD3JPHB6967,76918.6,85950,9031.399999999994
32,MB1NACHD3JRHV9259,102687.9,104174,1486.1000000000058
33,MB1NACHD5JAHH4551,100532.5,104278,3745.5
34,MB1NACHD5JPHB4220,155757.3,172508,16750.70000000001
35,MB1NACHD8JAFH7129,70681.6,81324,10642.399999999994
36,MB1NACHD9JPHB6441,131806.3,134404,2597.7000000000116
37,MB1NACHDXJRHV9694,139461.4,152400,12938.600000000006
38,MB1TLDHD9JPHB5149,66303.0,72626,6323.0
39,MB1TLKHD9KPHH5552,39658.8,42529,2870.199999999997
40,MB1TRCHD0JREX1473,45537.7,54843,9305.300000000003
41,MB1TRKHD0JPCD9599,68905.1,77733,8827.899999999994
42,MB1TRKHD0JPCD9683,30411.6,31540,1128.4000000000015
43,MB1TRKHD1JPXF5712,38968.4,40876,1907.5999999999985
44,MB1TRKHD2JPED0974,50578.9,61285,10706.099999999999
45,MB1TRKHD3JPXF8501,31627.6,34500,2872.4000000000015
46,MB1TRKHD3JPYF3706,37397.5,39836,2438.5
47,MB1TRKHD4JPAE8428,45508.5,50300,4791.5
48,MB1TRKHD4JPDD5817,64111.5,71866,7754.5
49,MB1TRKHD4JRYZ3852,33644.1,40991,7346.9000000000015
50,MB1TRKHD6JPDD4958,59048.5,67940,8891.5
51,MB1TRKHD7JPCD9681,58209.6,65975,7765.4000000000015
52,MB1TRKHD7JPYF1571,57636.9,66182,8545.099999999999
53,MB1TRKHDXJPCD8878,49131.0,54210,5079.0
54,MB1UPDHD0JPYF1160,82840.0,87362,4522.0
55,MB1UPKHD1JPYF2094,126590.8,141223,14632.199999999997
56,MB1UPKHD3JPDD3521,72298.3,79209,6910.699999999997
57,MB1UPKHD6JPAE5993,49355.5,51200,1844.5
58,MB1UPKHD9JPBE3299,42652.8,50667,8014.199999999997
59,MB1UPKHD9JPDD7217,85384.4,86006,621.6000000000058
60,MB1UPKHD9JPDD7217,85384.4,94399,9014.600000000006
61,MB1UPKHD9JPDD7217,85384.4,97590,12205.600000000006
62,MB1UPKHDXJPXF7789,37017.9,52900,15882.099999999999
63,MB1A3EHD5JADJ1088,,88633,
64,MB1A3EHD5JAWJ7589,,73500,
65,MB1A3EHD8JAYJ5583,,86200,
66,MB1CTCHD0JEWC3057,,40538,
67,MB1CTCHD2JPAE5230,,80760,
68,MB1CTCHD6JAYJ5210,,80050,
69,MB1CTCHD9KPJG5623,,40150,
70,MB1G3CHD6JECB1522,,1395,
71,MB1G3CHDXJEYB9542,,555,
72,MB1KACHD3JPWG4126,,20245,
73,MB1KACHD3JPXF9348,,40992,
74,MB1KACHD3JRXZ5825,,47892,
75,MB1KACHD4JPXF9343,,54686,
76,MB1KACHDXJRGW2952,,95082,
77,MB1TLCHD2JEAB5964,,35556,
78,MB1TRCHD5JEGA2092,,13397,
