,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
0,108580,0,1265,0,0.0,0.0,0.9884837725886476,1.2537837
1,108580,1,1264,0,1.0,0.0007905138339920949,0.9884928763257317,0.25378376
2,108579,1,1264,1,0.5,0.0007905138339920949,0.9884837725886476,0.2522345
3,108579,2,1263,1,0.6666666666666666,0.0015810276679841897,0.9884928763257317,0.2510333
4,108576,2,1263,4,0.3333333333333333,0.0015810276679841897,0.9884655651144795,0.24643752
5,108576,3,1262,4,0.42857142857142855,0.0023715415019762848,0.9884746688515635,0.24631023
6,108572,3,1262,8,0.2727272727272727,0.0023715415019762848,0.9884382539032273,0.24538276
7,108572,4,1261,8,0.3333333333333333,0.0031620553359683794,0.9884473576403113,0.24509558
8,108559,4,1261,21,0.16,0.0031620553359683794,0.9883290090582184,0.23937547
9,108559,5,1260,21,0.19230769230769232,0.003952569169960474,0.9883381127953025,0.2393052
10,108551,5,1260,29,0.14705882352941177,0.003952569169960474,0.9882652828986299,0.23781794
11,108551,6,1259,29,0.17142857142857143,0.0047430830039525695,0.988274386635714,0.23774707
12,108516,6,1259,64,0.08571428571428572,0.0047430830039525695,0.9879557558377714,0.23285538
13,108516,7,1258,64,0.09859154929577464,0.005533596837944664,0.9879648595748555,0.23282704
14,108514,7,1258,66,0.0958904109589041,0.005533596837944664,0.9879466521006873,0.23259726
15,108514,8,1257,66,0.10810810810810811,0.006324110671936759,0.9879557558377714,0.2325528
16,108513,8,1257,67,0.10666666666666667,0.006324110671936759,0.9879466521006873,0.23251206
17,108513,10,1255,67,0.12987012987012986,0.007905138339920948,0.9879648595748555,0.23211482
18,108502,10,1255,78,0.11363636363636363,0.007905138339920948,0.9878647184669307,0.2314479
19,108502,11,1254,78,0.12359550561797752,0.008695652173913044,0.9878738222040148,0.23138261
20,108499,11,1254,81,0.11956521739130435,0.008695652173913044,0.9878465109927625,0.23117796
21,108499,12,1253,81,0.12903225806451613,0.009486166007905139,0.9878556147298466,0.23116857
22,108495,12,1253,85,0.12371134020618557,0.009486166007905139,0.9878191997815103,0.23095593
23,108495,13,1252,85,0.1326530612244898,0.010276679841897233,0.9878283035185944,0.23092687
24,108494,13,1252,86,0.13131313131313133,0.010276679841897233,0.9878191997815103,0.23081404
25,108494,14,1251,86,0.14,0.011067193675889328,0.9878283035185944,0.23072568
26,108417,14,1251,163,0.07909604519774012,0.011067193675889328,0.9871273157631207,0.22632545
27,108417,16,1249,163,0.0893854748603352,0.012648221343873518,0.9871455232372889,0.22630039
28,108403,16,1249,177,0.08290155440414508,0.012648221343873518,0.9870180709181119,0.2257519
29,108403,17,1248,177,0.08762886597938144,0.013438735177865613,0.987027174655196,0.22570524
30,108393,17,1248,187,0.08333333333333333,0.013438735177865613,0.9869361372843553,0.22514743
31,108393,18,1247,187,0.08780487804878048,0.014229249011857707,0.9869452410214393,0.22512954
32,108293,18,1247,287,0.05901639344262295,0.014229249011857707,0.986034867313032,0.22045842
33,108293,19,1246,287,0.06209150326797386,0.015019762845849802,0.9860439710501161,0.22045222
34,108291,19,1246,289,0.06168831168831169,0.015019762845849802,0.986025763575948,0.22042751
35,108291,20,1245,289,0.06472491909385113,0.015810276679841896,0.986034867313032,0.22042415
36,108289,20,1245,291,0.06430868167202572,0.015810276679841896,0.9860166598388639,0.22040728
37,108289,21,1244,291,0.0673076923076923,0.016600790513833993,0.986025763575948,0.2203649
38,108288,21,1244,292,0.0670926517571885,0.016600790513833993,0.9860166598388639,0.22034347
39,108288,22,1243,292,0.07006369426751592,0.017391304347826087,0.986025763575948,0.22021487
40,108272,22,1243,308,0.06666666666666667,0.017391304347826087,0.9858801037826027,0.2199252
41,108272,23,1242,308,0.06948640483383686,0.01818181818181818,0.9858892075196868,0.21990028
42,108247,23,1242,333,0.06460674157303371,0.01818181818181818,0.985661614092585,0.21897885
43,108247,24,1241,333,0.06722689075630252,0.018972332015810278,0.9856707178296691,0.218974
44,108232,24,1241,348,0.06451612903225806,0.018972332015810278,0.985534161773408,0.21857166
45,108232,25,1240,348,0.06702412868632708,0.019762845849802372,0.9855432655104921,0.21849719
46,108231,25,1240,349,0.06684491978609626,0.019762845849802372,0.985534161773408,0.2184884
47,108231,26,1239,349,0.06933333333333333,0.020553359683794466,0.9855432655104921,0.21847647
48,108191,26,1239,389,0.06265060240963856,0.020553359683794466,0.9851791160271292,0.21728241
