,TN,TP,FP,FN
0,0,76,1046,0
1,0,76,1046,0
2,0,76,1046,0
3,0,76,1046,0
4,0,76,1046,0
5,0,76,1046,0
6,0,76,1046,0
7,98,68,948,8
8,174,65,872,11
9,221,63,825,13
10,280,60,766,16
11,344,57,702,19
12,406,53,640,23
13,448,52,598,24
14,509,46,537,30
15,570,43,476,33
16,638,41,408,35
17,717,40,329,36
18,778,36,268,40
19,838,30,208,46
20,882,26,164,50
21,925,20,121,56
22,991,6,55,70
23,1026,3,20,73
24,1041,1,5,75
25,1045,1,1,75
26,1046,0,0,76
27,1046,0,0,76
28,1046,0,0,76
29,1046,0,0,76
30,1046,0,0,76
31,1046,0,0,76
32,1046,0,0,76
33,1046,0,0,76
34,1046,0,0,76
35,1046,0,0,76
36,1046,0,0,76
37,1046,0,0,76
38,1046,0,0,76
39,1046,0,0,76
40,1046,0,0,76
41,1046,0,0,76
42,1046,0,0,76
43,1046,0,0,76
44,1046,0,0,76
45,1046,0,0,76
46,1046,0,0,76
47,1046,0,0,76
48,1046,0,0,76
49,1046,0,0,76
50,1046,0,0,76
51,1046,0,0,76
52,1046,0,0,76
53,1046,0,0,76
54,1046,0,0,76
55,1046,0,0,76
56,1046,0,0,76
57,1046,0,0,76
58,1046,0,0,76
59,1046,0,0,76
60,1046,0,0,76
61,1046,0,0,76
62,1046,0,0,76
63,1046,0,0,76
64,1046,0,0,76
65,1046,0,0,76
66,1046,0,0,76
67,1046,0,0,76
68,1046,0,0,76
69,1046,0,0,76
70,1046,0,0,76
71,1046,0,0,76
72,1046,0,0,76
73,1046,0,0,76
74,1046,0,0,76
75,1046,0,0,76
76,1046,0,0,76
77,1046,0,0,76
78,1046,0,0,76
79,1046,0,0,76
80,1046,0,0,76
81,1046,0,0,76
82,1046,0,0,76
83,1046,0,0,76
84,1046,0,0,76
85,1046,0,0,76
86,1046,0,0,76
87,1046,0,0,76
88,1046,0,0,76
89,1046,0,0,76
90,1046,0,0,76
91,1046,0,0,76
92,1046,0,0,76
93,1046,0,0,76
94,1046,0,0,76
95,1046,0,0,76
96,1046,0,0,76
97,1046,0,0,76
98,1046,0,0,76
99,1046,0,0,76
