,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
0,108616,0,1229,0,0.0,0.0,0.9888115071236743,1.7957556
1,108616,1,1228,0,1.0,0.0008136696501220504,0.9888206108607583,0.7957556
2,108615,1,1228,1,0.5,0.0008136696501220504,0.9888115071236743,0.7636762
3,108615,2,1227,1,0.6666666666666666,0.0016273393002441008,0.9888206108607583,0.75086766
4,108609,2,1227,7,0.2222222222222222,0.0016273393002441008,0.9887659884382539,0.7225348
5,108609,3,1226,7,0.3,0.0024410089503661514,0.988775092175338,0.7095199
6,108606,3,1226,10,0.23076923076923078,0.0024410089503661514,0.9887477809640858,0.69888854
7,108606,4,1225,10,0.2857142857142857,0.0032546786004882017,0.9887568847011698,0.69821674
8,108599,4,1225,17,0.19047619047619047,0.0032546786004882017,0.9886931585415814,0.68580973
9,108599,5,1224,17,0.22727272727272727,0.0040683482506102524,0.9887022622786654,0.6851623
10,108592,5,1224,24,0.1724137931034483,0.0040683482506102524,0.9886385361190769,0.64837563
11,108592,6,1223,24,0.2,0.004882017900732303,0.988647639856161,0.64533734
12,108583,6,1223,33,0.15384615384615385,0.004882017900732303,0.9885657062224043,0.61517954
13,108583,7,1222,33,0.175,0.005695687550854353,0.9885748099594883,0.61001676
14,108580,7,1222,36,0.16279069767441862,0.005695687550854353,0.9885474987482361,0.6011582
15,108580,8,1221,36,0.18181818181818182,0.006509357200976403,0.9885566024853202,0.6008232
16,108579,8,1221,37,0.17777777777777778,0.006509357200976403,0.9885474987482361,0.5926442
17,108579,9,1220,37,0.1956521739130435,0.007323026851098454,0.9885566024853202,0.58989763
18,108578,9,1220,38,0.19148936170212766,0.007323026851098454,0.9885474987482361,0.5883724
19,108578,10,1219,38,0.20833333333333334,0.008136696501220505,0.9885566024853202,0.5838068
20,108577,10,1219,39,0.20408163265306123,0.008136696501220505,0.9885474987482361,0.5793512
21,108577,12,1217,39,0.23529411764705882,0.009764035801464606,0.9885657062224043,0.5721121
22,108574,12,1217,42,0.2222222222222222,0.009764035801464606,0.988538395011152,0.5683445
23,108574,14,1215,42,0.25,0.011391375101708706,0.9885566024853202,0.56285584
24,108570,14,1215,46,0.23333333333333334,0.011391375101708706,0.9885201875369839,0.5561557
25,108570,15,1214,46,0.2459016393442623,0.012205044751830757,0.988529291274068,0.55614084
26,108568,15,1214,48,0.23809523809523808,0.012205044751830757,0.9885110837998998,0.55236024
27,108568,17,1212,48,0.26153846153846155,0.013832384052074858,0.988529291274068,0.5469203
28,108567,17,1212,49,0.25757575757575757,0.013832384052074858,0.9885201875369839,0.54358584
29,108567,18,1211,49,0.26865671641791045,0.014646053702196907,0.988529291274068,0.5422632
30,108561,18,1211,55,0.2465753424657534,0.014646053702196907,0.9884746688515635,0.5302733
31,108561,19,1210,55,0.25675675675675674,0.015459723352318959,0.9884837725886476,0.5292902
32,108557,19,1210,59,0.24358974358974358,0.015459723352318959,0.9884473576403113,0.5224669
33,108557,21,1208,59,0.2625,0.01708706265256306,0.9884655651144795,0.5192685
34,108539,21,1208,77,0.21428571428571427,0.01708706265256306,0.9883016978469662,0.49364793
35,108539,22,1207,77,0.2222222222222222,0.01790073230268511,0.9883108015840503,0.49288458
36,108537,22,1207,79,0.21782178217821782,0.01790073230268511,0.9882925941098821,0.49170172
37,108537,23,1206,79,0.22549019607843138,0.01871440195280716,0.9883016978469662,0.48912674
38,108533,23,1206,83,0.2169811320754717,0.01871440195280716,0.9882652828986299,0.48298714
39,108533,24,1205,83,0.22429906542056074,0.01952807160292921,0.988274386635714,0.48176387
40,108532,24,1205,84,0.2222222222222222,0.01952807160292921,0.9882652828986299,0.48035252
41,108532,25,1204,84,0.22935779816513763,0.02034174125305126,0.988274386635714,0.48007452
42,108529,25,1204,87,0.22321428571428573,0.02034174125305126,0.9882470754244618,0.4774811
43,108529,26,1203,87,0.23008849557522124,0.02115541090317331,0.9882561791615458,0.47674638
44,108513,26,1203,103,0.20155038759689922,0.02115541090317331,0.9881105193682006,0.46455377
45,108513,27,1202,103,0.2076923076923077,0.021969080553295363,0.9881196231052847,0.46433714
46,108507,27,1202,109,0.19852941176470587,0.021969080553295363,0.9880650006827802,0.45884588
47,108507,28,1201,109,0.20437956204379562,0.022782750203417412,0.9880741044198643,0.45820826
48,108504,28,1201,112,0.2,0.022782750203417412,0.9880467932086121,0.4548105
49,108504,29,1200,112,0.20567375886524822,0.023596419853539462,0.9880558969456962,0.45378822
50,108499,29,1200,117,0.19863013698630136,0.023596419853539462,0.9880103782602758,0.45121285
51,108499,30,1199,117,0.20408163265306123,0.024410089503661515,0.9880194819973599,0.45014393
52,108494,30,1199,122,0.19736842105263158,0.024410089503661515,0.9879739633119395,0.4470397
53,108494,31,1198,122,0.20261437908496732,0.025223759153783564,0.9879830670490236,0.44668907
54,108486,31,1198,130,0.19254658385093168,0.025223759153783564,0.987910237152351,0.44198573
55,108486,32,1197,130,0.19753086419753085,0.026037428803905614,0.9879193408894351,0.44141912
56,108483,32,1197,133,0.19393939393939394,0.026037428803905614,0.9878920296781829,0.43842316
57,108483,33,1196,133,0.19879518072289157,0.026851098454027666,0.987901133415267,0.43801755
58,108480,33,1196,136,0.1952662721893491,0.026851098454027666,0.9878738222040148,0.4374745
59,108480,34,1195,136,0.2,0.027664768104149716,0.9878829259410988,0.43742853
