,vin,1st_prediction_instance_km,Predicted as Failed,Actual Failed,ANN_AIR_FILTER_KM,Predicted in advance km
0,MB1A3EHD3JADJ0747,120229.4,Y,Y,124902.0,4672.600000000006
1,MB1A3EHD4JPBE3761,180446.3,Y,Y,201251.0,20804.70000000001
2,MB1A3EHD4JPCD8594,197628.5,Y,Y,203685.0,6056.5
3,MB1A3EHD5JAAJ3396,162903.8,Y,Y,177801.0,14897.200000000012
4,MB1A3EHD6JPBE3633,208702.4,Y,Y,237223.0,28520.600000000006
5,MB1A3EHD6JPDD7255,68091.4,Y,Y,76315.0,8223.600000000006
6,MB1A3EHD7JPAE9387,76132.3,Y,Y,77890.0,1757.699999999997
7,MB1CTCHD0JPEC8776,211000.0,Y,Y,237180.0,26180.0
8,MB1CTCHD0JPEC9720,211148.9,Y,Y,227805.0,16656.100000000006
9,MB1CTCHD1JAGH6523,115559.3,Y,Y,115747.0,187.6999999999971
10,MB1CTCHD2JPAE5227,72362.6,Y,Y,74676.0,2313.399999999994
11,MB1CTCHD2JPAE5230,78850.6,Y,Y,80760.0,1909.3999999999942
12,MB1CTCHD2JPEC9167,221554.0,Y,Y,245494.0,23940.0
13,MB1CTCHD4JPAE5231,81438.8,Y,Y,82936.0,1497.199999999997
14,MB1CTCHD5JPEC9163,133220.3,Y,Y,142894.0,9673.700000000012
15,MB1CTCHD5JPHB5983,121451.3,Y,Y,124088.0,2636.699999999997
16,MB1CTCHD6JPEC8782,224025.3,Y,Y,241696.0,17670.70000000001
17,MB1CTCHD6JPGC0865,115203.8,Y,Y,115669.0,465.1999999999971
18,MB1CTCHD7JPEC9004,218891.2,Y,Y,221450.0,2558.7999999999884
19,MB1CTCHD7JPEC9004,218891.2,Y,Y,239320.0,20428.79999999999
20,MB1KACHD3JPGC1781,152574.2,Y,Y,156500.0,3925.7999999999884
21,MB1KACHD5JPYF1092,68028.0,Y,Y,72039.0,4011.0
22,MB1KACHD6JEDA7439,84104.2,Y,Y,87264.0,3159.800000000003
23,MB1KACHDXJPDD7709,104127.9,Y,Y,106049.0,1921.1000000000058
24,MB1NACHD5JPHB4220,155757.3,Y,Y,166769.0,11011.700000000012
25,MB1TLDHD4JPCD9232,33556.8,Y,Y,35180.0,1623.199999999997
26,MB1TLDHD9JPHB5149,69203.0,Y,Y,72626.0,3423.0
27,MB1TLKHDXJPEC9475,71113.1,Y,Y,73270.0,2156.899999999994
28,MB1TRDHD5JPYF1340,6730.2,Y,Y,7504.0,773.8000000000002
29,MB1TRDHD6JPYF1556,7188.6,Y,Y,9113.0,1924.3999999999996
30,MB1TRKHD2JPED0974,50878.9,Y,Y,61285.0,10406.099999999999
31,MB1TRKHD8JPYF1871,39637.4,Y,Y,43141.0,3503.5999999999985
32,MB1TRKHD9JPBE2773,48003.8,Y,Y,49896.0,1892.199999999997
33,MB1TRKHDXJPYF1872,33517.4,Y,Y,37150.0,3632.5999999999985
34,MB1UPDHD0JPED1210,38466.1,Y,Y,39985.0,1518.9000000000015
35,MB1UPDHD3JPGC2300,114185.4,Y,Y,119501.0,5315.600000000006
36,MB1UPDHD8JPDD6622,108039.3,Y,Y,121841.0,13801.699999999997
37,MB1UPKHD2JPDD7012,132763.9,Y,Y,134922.0,2158.100000000006
38,MB1UPKHD8JPDD3336,69973.4,Y,Y,79049.0,9075.600000000006
39,MB1UPKHD8JPED2562,75165.9,Y,Y,76582.0,1416.1000000000058
40,MB1UPKHD9JRXZ8004,70898.9,Y,Y,78621.0,7722.100000000006
41,MB1UPKHDXJPDD7145,43668.4,Y,Y,49136.0,5467.5999999999985
42,MB1A3CHD4JEXC2438,109488.9,Y,N,,
43,MB1A3EHD0KAJJ9057,58466.0,Y,N,,
44,MB1A3EHD1JABJ2636,172759.3,Y,N,,
45,MB1A3EHD2JEFA4416,135052.1,Y,N,,
46,MB1A3EHD2KAJJ9061,112856.7,Y,N,,
47,MB1A3EHD5JADJ1088,88362.6,Y,N,,
48,MB1A3EHD5JEYB9627,124782.5,Y,N,,
49,MB1A3EHD6JAGH5936,133890.2,Y,N,,
50,MB1A3EHD6JEFA2815,128029.2,Y,N,,
51,MB1A3EHD8JAHH5116,36821.3,Y,N,,
52,MB1A3EHD8JAYJ5583,86678.1,Y,N,,
53,MB1A3EHD9JAAJ3451,179136.3,Y,N,,
54,MB1A3EHD9JADJ1157,81580.5,Y,N,,
55,MB1A3EHD9JPCD8591,161690.2,Y,N,,
56,MB1A3EHD9JPGB8966,128652.6,Y,N,,
57,MB1A3EHDXJPEC9730,197061.9,Y,N,,
58,MB1CTCHD0JAYJ4764,119688.3,Y,N,,
59,MB1CTCHD1JPFC3279,131883.0,Y,N,,
60,MB1CTCHD2JPHB6721,96809.8,Y,N,,
61,MB1CTCHD3JAYJ5567,93959.0,Y,N,,
62,MB1CTCHD3JPHB7294,3506.6,Y,N,,
63,MB1CTCHD5JAEH8673,117970.5,Y,N,,
64,MB1CTCHD5JAEH9371,93911.9,Y,N,,
65,MB1CTCHD5JPAE5366,99223.2,Y,N,,
66,MB1CTCHD5JPBE1725,91847.0,Y,N,,
67,MB1CTCHD5JPDD5302,161901.7,Y,N,,
68,MB1CTCHD5JPEC9728,127729.4,Y,N,,
69,MB1CTCHD6JAYJ5045,83600.3,Y,N,,
70,MB1CTCHD6JAYJ5210,79221.7,Y,N,,
71,MB1CTCHD6JPCE0151,83344.3,Y,N,,
72,MB1CTCHD6JPXF8340,86862.9,Y,N,,
73,MB1CTCHD6JPYE9804,70437.5,Y,N,,
