,vin,1st_prediction_instance_km,Predicted as Failed,Actual Failed,ANN_EGR_KM,Predicted in advance km
0,MB1A3EHD5JADJ1088,86862.6,Y,Y,88633.0,1770.3999999999942
1,MB1A3EHD5JAWJ7589,71566.0,Y,Y,73500.0,1934.0
2,MB1A3EHD8JAYJ5583,84278.1,Y,Y,86200.0,1921.8999999999942
3,MB1CTCHD0JEWC3057,40390.1,Y,Y,40538.0,147.90000000000146
4,MB1CTCHD2JPAE5230,78850.6,Y,Y,80760.0,1909.3999999999942
5,MB1CTCHD2JPGC2824,135662.0,Y,Y,147091.0,11429.0
6,MB1CTCHD5JPBE1725,93547.0,Y,Y,102571.0,9024.0
7,MB1CTCHD6JAYJ5210,78221.7,Y,Y,80050.0,1828.300000000003
8,MB1CTCHD7JAXJ5875,98039.0,Y,Y,99650.0,1611.0
9,MB1CTCHD9KPJG5623,36814.5,Y,Y,40150.0,3335.5
10,MB1G3CHD6JECB1522,882.7,Y,Y,1395.0,512.3
11,MB1G3CHDXJEYB9542,200.0,Y,Y,555.0,355.0
12,MB1KACHD0JPCD8414,71080.3,Y,Y,74268.0,3187.699999999997
13,MB1KACHD1JPCD8535,113831.8,Y,Y,126722.0,12890.199999999997
14,MB1KACHD1JPFC7222,60723.9,Y,Y,60882.0,158.09999999999854
15,MB1KACHD2JEAB6825,24661.9,Y,Y,30801.0,6139.0999999999985
16,MB1KACHD3JAGH6461,156487.0,Y,Y,160061.0,3574.0
17,MB1KACHD3JAGH6461,156487.0,Y,Y,165092.0,8605.0
18,MB1KACHD3JEFA4536,80297.9,Y,Y,82282.0,1984.1000000000058
19,MB1KACHD3JPGC1778,139514.1,Y,Y,141300.0,1785.8999999999942
20,MB1KACHD3JPWG4126,20160.4,Y,Y,20245.0,84.59999999999854
21,MB1KACHD3JPXF9348,37967.1,Y,Y,40992.0,3024.9000000000015
22,MB1KACHD3JRXZ5825,46062.2,Y,Y,47892.0,1829.800000000003
23,MB1KACHD3KPHH2993,25885.6,Y,Y,37374.0,11488.400000000001
24,MB1KACHD4JPYF4291,53022.4,Y,Y,61514.0,8491.599999999999
25,MB1KACHD5JPED1481,110883.9,Y,Y,131000.0,20116.100000000006
26,MB1KACHD5JPWG5083,55305.7,Y,Y,71180.0,15874.300000000003
27,MB1KACHD5JPXF9416,57304.9,Y,Y,59282.0,1977.0999999999985
28,MB1KACHD5JRXZ8094,47157.4,Y,Y,54045.0,6887.5999999999985
29,MB1KACHD6JAXJ6176,21385.9,Y,Y,22750.0,1364.0999999999985
30,MB1KACHD6JEDA7439,86804.2,Y,Y,90548.0,3743.800000000003
31,MB1KACHD6JEFA3607,155423.4,Y,Y,161065.0,5641.600000000006
32,MB1KACHD6JPHB6044,84549.1,Y,Y,86523.0,1973.8999999999942
33,MB1KACHD6KPHH2843,23460.0,Y,Y,24999.0,1539.0
34,MB1KACHD7JAYJ5086,97823.9,Y,Y,102765.0,4941.100000000006
35,MB1KACHD7JPCD9138,35496.2,Y,Y,39943.0,4446.800000000003
36,MB1KACHD7KPJG5203,13695.9,Y,Y,14884.0,1188.1000000000004
37,MB1KACHD7KPJG9140,14740.9,Y,Y,16747.0,2006.1000000000004
38,MB1KACHD7KRJA3563,42992.4,Y,Y,47368.0,4375.5999999999985
39,MB1KACHDXJRGW2952,88116.9,Y,Y,95082.0,6965.100000000006
40,MB1KACHDXKEHD0431,44050.0,Y,Y,45631.0,1581.0
41,MB1KAKHD9JPEC9937,59502.3,Y,Y,68940.0,9437.699999999997
42,MB1NACHD1JPHB4618,78415.4,Y,Y,80241.0,1825.6000000000058
43,MB1NACHD3JPHB6967,79118.6,Y,Y,85950.0,6831.399999999994
44,MB1NACHD3JRHV9259,102787.9,Y,Y,104174.0,1386.1000000000058
45,MB1NACHD5JAHH4551,102532.5,Y,Y,104278.0,1745.5
46,MB1NACHD5JPHB4220,155757.3,Y,Y,172508.0,16750.70000000001
47,MB1NACHD8JAFH7129,72581.6,Y,Y,81324.0,8742.399999999994
48,MB1NACHD9JPHB6441,132506.3,Y,Y,134404.0,1897.7000000000116
49,MB1NACHDXJRHV9694,143061.4,Y,Y,152400.0,9338.600000000006
50,MB1TLCHD2JEAB5964,33831.8,Y,Y,35556.0,1724.199999999997
51,MB1TLDHD9JPHB5149,69103.0,Y,Y,72626.0,3523.0
52,MB1TLKHD9KPHH5552,41458.8,Y,Y,42529.0,1070.199999999997
53,MB1TRCHD0JREX1473,52837.7,Y,Y,54843.0,2005.300000000003
54,MB1TRCHD5JEGA2092,11675.4,Y,Y,13397.0,1721.6000000000004
55,MB1TRKHD0JPCD9599,69505.1,Y,Y,77733.0,8227.899999999994
56,MB1TRKHD0JPCD9683,30511.6,Y,Y,31540.0,1028.4000000000015
57,MB1TRKHD1JPXF5712,38968.4,Y,Y,40876.0,1907.5999999999985
